datetime,field,away,awayScore,home,homeScore
2018-07-25T19:00:00,Unlit,Thunder Buddies,,Overnight Sensations,
2018-07-30T18:00:00,Lit,Stolen Base Pairs,,Stormy Danielas,
2018-07-30T19:00:00,Lit,Natty Ice 2.0,,Pitches be Crazy,
2018-07-30T20:00:00,Lit,Grapes of McGrath,,Thunder Buddies,
2018-07-30T18:00:00,Unlit,Overnight Sensations,,BlueGenes,
2018-07-30T19:00:00,Unlit,Back that Ash Up,,White Fang,
2018-08-01T18:00:00,Lit,Aquaholics,,Red Pandas,
2018-08-01T19:00:00,Lit,Oscar Meyer Winners,,White Walkers,
2018-08-01T20:00:00,Lit,Purps on the Run,,Banana Ballers,
2018-08-01T18:00:00,Unlit,illumiNuggets,,The Red Stripes,
2018-08-01T19:00:00,Unlit,Bad Mother Southers,,Green Monsters,
2018-08-06T18:00:00,Lit,Green Monsters,,Purps on the Run,
2018-08-06T19:00:00,Lit,White Walkers,,Stolen Base Pairs,
2018-08-06T20:00:00,Lit,Red Pandas,,Natty Ice 2.0,
2018-08-06T18:00:00,Unlit,Stormy Danielas,,illumiNuggets,
2018-08-06T19:00:00,Unlit,White Fang,,Bad Mother Southers,
2018-08-08T18:00:00,Lit,BlueGenes,,Grapes of McGrath,
2018-08-08T19:00:00,Lit,Banana Ballers,,Aquaholics,
2018-08-08T20:00:00,Lit,The Red Stripes,,Overnight Sensations,
2018-08-08T18:00:00,Unlit,Pitches be Crazy,,Back that Ash Up,
2018-08-08T19:00:00,Unlit,Thunder Buddies,,Oscar Meyer Winners,
,,,,,
